variant,label,phase,purpose,archival_status,scheduler_status,exit_code,best_epoch,rank1,mAP,mINP,evaluated_epochs,metrics_scope,protocol
r0_current,R0 current,schedule,Exact current C3 recipe control.,completed,completed,0,23,0.7004469633102417,0.6843260200904848,0.5676296611064144,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
r1_gray4_coupled,R1 gray4 coupled,schedule,Shorter gray stage while retaining the original coupled switch.,completed,completed,0,19,0.6819089651107788,0.6699982226757235,0.5549923548162632,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
r2_gray4_decoupled_ramp3,R2 gray4 decoupled ramp3,schedule,RGB starts at epoch 4; MSEL/DCL start at epoch 6 with a 3-epoch ramp.,completed,completed,0,23,0.6799894571304321,0.6689927983326398,0.5565616522297299,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
l0_no_aux,L0 no auxiliary,loss_necessity,ID and PMT-hard triplet without MSEL or DCL.,completed,completed,0,23,0.6363134384155273,0.6187712350747232,0.4907341441528404,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
l1_msel_only,L1 MSEL only,loss_necessity,Isolate MSEL necessity.,completed,completed,0,23,0.6717065572738647,0.6424872130806855,0.5093490073725594,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
l2_dcl_only,L2 DCL only,loss_necessity,Isolate DCL necessity and its suspected over-alignment pressure.,completed,completed,0,23,0.6398369073867798,0.6419649134746448,0.5341575475710549,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
l4_msel050_dcl010,L4 MSEL0.50 DCL0.10,loss_necessity,Preserve MSEL while reducing the late-training dominant DCL term.,completed,completed,0,23,0.6815934777259827,0.658002807463128,0.5327614115067164,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
m1_cm_margin005,M1 cross-modal margin0.05,mining_margin,Cross-modal-only hard mining with a smaller margin.,completed,completed,0,23,0.692847728729248,0.6630688609745862,0.5330649894409674,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
m2_cm_margin010,M2 cross-modal margin0.10,mining_margin,Cross-modal-only hard mining at the inherited margin.,completed,completed,0,19,0.6879568696022034,0.6556608507425005,0.5227445471103906,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
m3_cm_margin020,M3 cross-modal margin0.20,mining_margin,Cross-modal-only hard mining with a larger margin.,completed,completed,0,23,0.685038149356842,0.6584127635901308,0.530060402325417,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
s0_selective_control,S0 selective control,selective_relation,"Cross-modal shared alignment plus a small intra-modal identity term, without relation loss.",completed,completed,0,23,0.5889297723770142,0.5760235484998567,0.4486468938124612,"[1,3,5,7,9,11,13,15,17,19,21,23]",official_completed_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
s1_relation005,S1 relation0.05,selective_relation,Relation-preserving selective alignment with weight 0.05.,failed_user_stopped,failed,-15,21,0.5882461667060852,0.5752288973651072,0.44502835597229556,"[1,3,5,7,9,11,13,15,17,19,21]",partial_interrupted_run,"dataset=sysu|search=all|gallery=single|trial_ids=0,1,2,3,4,5,6,7,8,9|direction=infrared-to-visible|backend=identity_text|test_modality=IR|query=infrared-image|gallery_modalities=visible-image|caption_lookup=none|caption_seed=none|caption_source=none"
s2_relation010,S2 relation0.10,selective_relation,Relation-preserving selective alignment with weight 0.10.,failed_user_stopped,failed,-15,,,,,[],none,
